label,text
spam,"Congratulations! You won a free iPhone. Click here to claim now."
ham,"Hi team, please find the meeting agenda attached for tomorrow."
spam,"Urgent! Your account has been compromised. Verify your password immediately."
ham,"Can we reschedule our lunch to Friday at 1 PM?"
spam,"You have been selected for a $500 gift card. Reply YES to receive it."
ham,"Thanks for your help with the project presentation."
spam,"Earn money fast from home with this simple trick."
ham,"The client approved the latest design draft. Great job everyone."
spam,"Limited-time offer! Buy now and get 80% discount."
ham,"Please submit your expense report by end of day."
spam,"Winner announced! Claim your lottery cash prize now."
ham,"Let's catch up over coffee this weekend."
spam,"Act now to avoid suspension of your bank account."
ham,"I have shared the monthly report on the drive."
spam,"Get cheap meds online without prescription."
ham,"Reminder: doctor appointment on Monday at 10 AM."
spam,"You are pre-approved for a huge loan with no documents."
ham,"Happy birthday! Wishing you a wonderful year ahead."
spam,"Your package is waiting. Pay delivery fee to receive it today."
ham,"Please review the pull request when you get a chance."
spam,"Unlock premium content for free by signing up here."
ham,"The deployment completed successfully with no downtime."
spam,"Special promotion: lowest insurance rates guaranteed."
ham,"Attached is the invoice for last month's services."
spam,"This is your final warning before legal action."
ham,"Could you share the notes from today's workshop?"
spam,"Exclusive deal ends tonight. Don't miss your reward points."
ham,"I'll be on leave next Tuesday and Wednesday."
spam,"Click this link to confirm your tax refund details."
ham,"Dinner at my place tonight?"
